[850 872]      [894 234]
[855 882]      [880 238]
[ 857 1214]      [455 238]
[994 717]      [1124  335]
[1038  685]      [1179  369]
[1110 1251]      [347 422]
[1116 1331]      [232 425]
[1125 1362]      [187 431]
[1128 1310]      [260 435]
[1128 1310]      [260 435]
[1132 1224]      [382 441]
[1135 1309]      [258 440]
[1135 1324]      [238 440]
[1140 1294]      [279 445]
[1143 1314]      [248 447]
[1147 1304]      [263 450]
[1147 1292]      [282 451]
[1158 1141]      [502 464]
[ 827 1188]      [491 220]
[ 835 1197]      [481 223]
[ 888 1156]      [524 260]
[ 888 1156]      [524 260]
[1044  688]      [1176  373]
[1126 1362]      [184 432]
[1127 1355]      [194 432]
[1151 1380]      [150 451]
[1169 1187]      [428 470]
[ 914 1287]      [347 273]
[1150 1451]      [ 45 450]
[1138 1376]      [159 441]
[1120 1361]      [188 428]
[1150 1377]      [152 451]
[1130 1348]      [204 436]
[1135 1344]      [204 440]
[1122 1332]      [229 430]
[1131 1335]      [226 437]
[1144 1339]      [211 446]
[1128 1309]      [260 435]
[1128 1309]      [260 435]
[1135 1308]      [258 440]
[1143 1313]      [248 447]
[1147 1289]      [282 451]
[1133 1224]      [382 441]
[1114 1298]      [280 424]
[1140 1292]      [279 445]
[ 854 1221]      [448 236]
[1162 1126]      [522 467]
[999 703]      [1143  340]
[1018  694]      [1159  355]
[1133 1370]      [170 439]
[1131 1223]      [382 439]
[1150 1156]      [479 456]
[1158 1089]      [581 464]
[ 834 1197]      [478 228]
[1041  687]      [1176  373]
[1008  706]      [1141  346]
[854 881]      [880 238]
[ 826 1188]      [493 220]
[ 888 1156]      [524 260]
[ 895 1222]      [438 262]
[994 721]      [1118  334]
[1113 1299]      [281 422]
[1119 1308]      [265 427]
[1122 1237]      [367 430]
[1123 1149]      [494 433]
[1128 1309]      [261 434]
[1135 1371]      [169 439]
[1136 1323]      [239 440]
[1137 1359]      [186 440]
[1140 1296]      [276 445]
[1145 1203]      [411 452]
[ 884 1219]      [442 256]
[1150 1378]      [152 451]
[1137 1359]      [185 441]
[1114 1314]      [258 423]
[1144 1351]      [193 447]
[1102 1283]      [304 413]
[1128 1309]      [259 434]
[1128 1309]      [259 434]
[1123 1301]      [271 430]
[1116 1275]      [311 425]
[1140 1296]      [272 444]
[1162 1159]      [470 464]
[1089  904]      [862 410]
[1142 1337]      [211 446]
[1135 1309]      [255 440]
[1147 1301]      [261 450]
[1147 1301]      [261 450]
[1147 1288]      [280 451]
[1134 1217]      [391 441]
[1141 1211]      [397 448]
[1165 1179]      [437 467]
[1162 1084]      [588 467]
[1162 1084]      [588 467]
[1128 1285]      [298 435]
[1112 1264]      [332 422]
[1158 1160]      [472 462]
[ 854 1221]      [448 236]
[888 901]      [856 258]
[1145 1373]      [161 447]
[1145 1373]      [161 447]
[1136 1376]      [159 440]
[1134 1370]      [170 439]
[1141 1338]      [214 445]
[1146 1305]      [259 450]
[1127 1309]      [261 435]
[1118 1268]      [322 428]
[1118 1268]      [323 427]
[1084 1283]      [311 400]
[1150 1156]      [478 456]
[1146 1149]      [490 452]
[ 881 1167]      [509 254]
[ 812 1162]      [528 209]
[844 865]      [900 231]
[799 833]      [938 205]
[726 840]      [926 161]
[ 788 1173]      [517 199]
[ 844 1162]      [524 232]
[ 857 1228]      [440 237]
[1123 1358]      [193 429]
[1146 1368]      [168 448]
